       version             X             Z     num logTs      logT min      logT max      del logT     num logQs      logQ min      logQ max      del logQ
            51        0.8000        0.0400       102            2.1000        8.1600        0.0600       175          -10.0000        5.6600        0.0900

       logQ = logRho - 2*logT + 12
      -10.000000

 logT logPgas   lpp_H  lpp_He   lpp_C   lpp_N   lpp_O  lpp_Ne  lpp_Mg  lpp_Si  lpp_Fe     Z_H    Z_He     Z_C     Z_N     Z_O    Z_Ne    Z_Mg    Z_Si    Z_Fe     f_H    f_He     f_C     f_N     f_O    f_Ne    f_Mg    f_Si    f_Fe
 5.58   5.120   4.783   3.482   1.641   1.061   1.961   1.175   0.733   0.891   0.626   1.000   2.000   5.993   6.376   6.217   9.998  10.000  11.980  15.993   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.64   5.360   5.023   3.722   1.881   1.301   2.201   1.415   0.973   1.130   0.866   1.000   2.000   5.999   6.876   6.834  10.000  10.000  11.997  15.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.70   5.600   5.262   3.961   2.121   1.541   2.441   1.655   1.213   1.370   1.105   1.000   2.000   6.000   6.983   7.312  10.000  10.000  11.999  16.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.76   5.840   5.502   4.201   2.361   1.781   2.680   1.894   1.453   1.610   1.345   1.000   2.000   6.000   6.997   7.845  10.000  10.000  12.000  16.024   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.82   6.080   5.742   4.441   2.601   2.021   2.920   2.134   1.693   1.850   1.585   1.000   2.000   6.000   6.999   7.977  10.000  10.000  12.000  16.363   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.88   6.320   5.982   4.681   2.841   2.261   3.160   2.374   1.932   2.090   1.825   1.000   2.000   6.000   7.000   7.996  10.000  10.001  12.000  17.196   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 5.94   6.560   6.222   4.921   3.081   2.501   3.400   2.614   2.172   2.330   2.065   1.000   2.000   6.000   7.000   7.999  10.000  10.031  12.000  18.271   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.00   6.800   6.462   5.161   3.321   2.740   3.640   2.854   2.412   2.570   2.305   1.000   2.000   6.000   7.000   8.000  10.000  10.358  12.000  20.089   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.06   7.040   6.702   5.401   3.561   2.980   3.880   3.094   2.652   2.810   2.545   1.000   2.000   6.000   7.000   8.000  10.000  11.028  12.007  21.406   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.12   7.280   6.942   5.641   3.801   3.220   4.120   3.334   2.892   3.050   2.785   1.000   2.000   6.000   7.000   8.000  10.000  11.668  12.116  23.381   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.18   7.520   7.182   5.881   4.041   3.460   4.360   3.574   3.132   3.290   3.025   1.000   2.000   6.000   7.000   8.000  10.000  11.941  12.684  23.891   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.24   7.760   7.422   6.121   4.281   3.700   4.600   3.814   3.372   3.530   3.265   1.000   2.000   6.000   7.000   8.000  10.000  11.989  13.390  23.981   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.30   8.000   7.662   6.361   4.521   3.940   4.840   4.054   3.612   3.770   3.505   1.000   2.000   6.000   7.000   8.000  10.000  11.998  13.863  23.996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.36   8.240   7.902   6.601   4.761   4.180   5.080   4.294   3.852   4.010   3.745   1.000   2.000   6.000   7.000   8.000  10.000  11.999  13.975  23.999   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.42   8.480   8.142   6.841   5.001   4.420   5.320   4.534   4.092   4.250   3.985   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.995  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.48   8.720   8.382   7.081   5.241   4.660   5.560   4.774   4.332   4.490   4.225   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.998  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.54   8.960   8.622   7.321   5.481   4.900   5.800   5.014   4.572   4.730   4.465   1.000   2.000   6.000   7.000   8.000  10.000  12.000  13.999  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
 6.60   9.200   8.862   7.561   5.721   5.140   6.040   5.254   4.812   4.970   4.705   1.000   2.000   6.000   7.000   8.000  10.000  12.000  14.000  24.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
